Date Completed,Item Code,Item Name,Qty.,Serial Number,Asset Code,Ship From,Ship To,Justification
04 January 2017,TOL-17112,OFDR-I-01-8U,1, , ,Ikeja Store,GTB Processing Centre: Ademola Adetokunbo VI,This is to restore service to the failed cores on the GTB PTP link toi Obadeyi.
04 January 2017,CAB-70162,FHD-XJ1A-0125M,1, , ,Ikeja Store,"HealthPlus Limited 2 248B Ajose Adeogun stre Zenith Bank HQ,VI",Cable rerun required for restoration of service at location
04 January 2017,INS-80119,GP-Y (FTTH Wall Box),2, , ,Ikeja Store,"HealthPlus Limited 2 248B Ajose Adeogun stre Zenith Bank HQ,VI",Items required for cable run at location
04 January 2017,INS-80131,Tie wraps(Big),1, , ,Ikeja Store,"HealthPlus Limited 2 248B Ajose Adeogun stre Zenith Bank HQ,VI",Items required for cable run at location
05 January 2017,TOL-17084,Fibre Closure (Splice Case) for 96 fibres.,2, , ,UPS Warehouse,AKIN ADESOLA STREET VICTORIA ISLAND,"During the course of service restoration to Idowu Martins Cabinet on 31st Dec, 2016/1st Jan, 2017"
04 January 2017,INS-80131,Tie wraps(Big),1, , ,Abuja Office/Store,USAID/PMI-AIRS PROJECT,RELOCATIONS
05 January 2017,TOL-17090,FPS-MPP1JJJ,1, , ,Ikeja Store,Jakande (4th roundabout) Lekki Lagos,to be used to replace the splitter serving  stillwatergardens estate as the current splitter is giving out high loss.
05 January 2017,CAB-70150,OCJ-S2-03MASCA-S2,2, , ,Ikeja Store,ipNX HQ,For maintenance on Glo 1 - HQ link
05 January 2017,INS-80131,Tie wraps(Big),1, , ,Ikeja Store,"MBH Power Limited. km 5,Itokin road,Lagos",To be use at MBHikorodu
05 January 2017,CAB-70167,FHD-XJ1A-0050M,2, , ,Ikeja Store,STAT OIL. 16 MACDONALD ROAD IKOYI,"Maintenance for a costumer at  16 Stat Oil 16, MacDonald road ikoyi"
05 January 2017,INS-80119,GP-Y (FTTH Wall Box),3, , ,Ikeja Store,STAT OIL. 16 MACDONALD ROAD IKOYI,"Maintenance for a costumer at  16 Stat Oil 16, MacDonald road ikoyi"
05 January 2017,TOL-17236,MST-0JXX00-A0010UM,1, , ,Ikeja Store,STAT OIL. 16 MACDONALD ROAD IKOYI,"Maintenance for a costumer at  16 Stat Oil 16, MacDonald road ikoyi"
01 February 2017,CAB-005200,2m SC-SC single mode apc patch cord,1, , ,HQ Store,Saka Tinubu FDH Cabinet Victoria Island,This is for the restoration of service  for the Medallion HQ PTP fibre on the NPT1200
06 January 2017,INS-80119,GP-Y (FTTH Wall Box),2, , ,Ikeja Store,VGC Security Welcome center  Plot H-14 Rd 3 VGC KM 22 ,fibre cut at two points on the customer's drop cable
06 January 2017,CAB-070056,4 Core Fibre Optic Cable-Foreign,100, , ,Ikeja Store,"Hedge Securities & Investments.7th Floor, Reinsurance Hse,LA",For maintenance on Hedge Securities link
06 January 2017,INS-005101,Fibre Heat Shrink,1, , ,Ikeja Store,"Hedge Securities & Investments.7th Floor, Reinsurance Hse,LA",For maintenance on Hedge Securities link
06 January 2017,INS-80115,Tie wrap(small),1, , ,Ikeja Store,"Hedge Securities & Investments.7th Floor, Reinsurance Hse,LA",For maintenance on Hedge Securities link
06 January 2017,TOL-17112,OFDR-I-01-8U,2, , ,Ikeja Store,"Hedge Securities & Investments.7th Floor, Reinsurance Hse,LA",For maintenance on Hedge Securities link
06 January 2017,TOL-17235,MST-0JXX00-A0350UM,7, , ,Ikeja Store,NORTH POINT ESTATE CHEVRON DRIVE LEKKI LAGOS,The 7 MSTs are for North Point Estate 1&2.
06 January 2017,TOL-17090,FPS-MPP1JJJ,1, , ,Ikeja Store,NORTH POINT ESTATE CHEVRON DRIVE LEKKI LAGOS,The splitter is for powering North Point Estate 1&2
06 January 2017,CAB-70053,24 Core Fibre Optic Cable-Local,225, , ,Ikeja Store,NORTH POINT ESTATE CHEVRON DRIVE LEKKI LAGOS,225m of 24 cable for North Point Estate1 & 2
15 February 2017,TOL-17084,Fibre Closure (Splice Case) for 96 fibres.,3, , ,UPS Warehouse,GBAGADA PHASE 1 ,FTTH DEPLOYMENT AT GBAGADA PHASE 1
11 January 2017,CAB-70120,OCJ-S2-10MASCA-S2,1, , ,Ikeja Store,IDOWU MARTINS VICTORIA ISLAND,For maintenance at the cabinet
09 January 2017,CAB-70157,FHD-XJ1A-0100M,1, , ,Ikeja Store,JADE PLACE VICTORIA ISLAND LAGOS,For maintenance at Jade Place
09 January 2017,INS-80119,GP-Y (FTTH Wall Box),2, , ,Ikeja Store,JADE PLACE VICTORIA ISLAND LAGOS,For maintenance at Jade Place
09 January 2017,INS-80131,Tie wraps(Big),1, , ,Ikeja Store,JADE PLACE VICTORIA ISLAND LAGOS,For maintenance at Jade Place
10 January 2017,TOL-171074,FHD-ACC-CLAMP910,7, , ,Ikeja Store, IROFIT Technologies 252 Herbert Macaulay Way Yaba,The materials is need to carry out backbone extension project for the above customer location.
10 January 2017,TOL-17235,MST-0JXX00-A0350UM,1, , ,Ikeja Store, IROFIT Technologies 252 Herbert Macaulay Way Yaba,The materials is need to carry out backbone extension project for the above customer location.
09 January 2017,CAB-70130,OCJ-S2-02MASCA-S2,1, , ,Port Harcourt Store,"MR ALI IMRAN (PHED) HOUSE 20, ROAD 315 TAG. FHA PHC",New installation
09 January 2017,CAB-70131,OC-ADK-S2-S2-NNC2,1, , ,Port Harcourt Store,"MR ALI IMRAN (PHED) HOUSE 20, ROAD 315 TAG. FHA PHC",New installation
09 January 2017,INS-80230,Face plate,1, , ,Port Harcourt Store,"MR ALI IMRAN (PHED) HOUSE 20, ROAD 315 TAG. FHA PHC",New installation
09 January 2017,TOL-1788,Pigtails,1, , ,Port Harcourt Store,"MR ALI IMRAN (PHED) HOUSE 20, ROAD 315 TAG. FHA PHC",New installation
09 January 2017,INS-80115,Tie wrap(small),1, , ,Ikeja Store,Greenwich Trust Limited ,"Required for radio link installation at Greenwich Trust Limited, Murtala Muhammed Way, Yaba, Lagos."
11 January 2017,CAB-070055,96 Core Fibre Optic Cable-Foreign,550, , ,UPS Warehouse,AKIN ADESOLA STREET VICTORIA ISLAND,"During the course of service restoration to Idowu Martins Cabinet on 31st Dec, 2016/1st Jan, 2017"
28 January 2017,TOL-17084,Fibre Closure (Splice Case) for 96 fibres.,7, , ,UPS Warehouse,Gbagada Phase 2,FTTH Deployment for Gbagada Phase 2
09 January 2017,TOL-17049,ONT,1,CIGGB0903576, ,Port Harcourt Store,ipNx Trans Amadi I SHOP PHC,For Fibre Activation.
09 January 2017,TOL-17049,ONT,1,CIGGB0904172, ,Port Harcourt Store,ipNx Trans Amadi I SHOP PHC,For Fibre Activation.
09 January 2017,TOL-17049,ONT,1,CIGGB0904209, ,Port Harcourt Store,ipNx Trans Amadi I SHOP PHC,For Fibre Activation.
09 January 2017,TOL-17049,ONT,1,CIGGB0904228, ,Port Harcourt Store,ipNx Trans Amadi I SHOP PHC,For Fibre Activation.
09 January 2017,TOL-17049,ONT,1,CIGGB0904383, ,Port Harcourt Store,ipNx Trans Amadi I SHOP PHC,For Fibre Activation.
09 January 2017,TOL-17049,ONT,1,CIGGB0904426, ,Port Harcourt Store,ipNx Trans Amadi I SHOP PHC,For Fibre Activation.
09 January 2017,TOL-17049,ONT,1,CIGGB0904441, ,Port Harcourt Store,ipNx Trans Amadi I SHOP PHC,For Fibre Activation.
09 January 2017,TOL-17049,ONT,1,CIGGB0904727, ,Port Harcourt Store,ipNx Trans Amadi I SHOP PHC,For Fibre Activation.
09 January 2017,TOL-17049,ONT,1,CIGGB0904828, ,Port Harcourt Store,ipNx Trans Amadi I SHOP PHC,For Fibre Activation.
09 January 2017,TOL-17049,ONT,1,CIGGB0904835, ,Port Harcourt Store,ipNx Trans Amadi I SHOP PHC,For Fibre Activation.
10 January 2017,INS-80119,GP-Y (FTTH Wall Box),2, , ,Ikeja Store,213A ASSOCIATION ROAD DOLPHIN ESTATE IKOYI,For drop cable rerun so as to splice 2 joints and restore service to Daniel akintonde
10 January 2017,INS-80131,Tie wraps(Big),1, , ,Ikeja Store,213A ASSOCIATION ROAD DOLPHIN ESTATE IKOYI,For drop cable rerun so as to splice 2 joints and restore service to Daniel akintonde
10 January 2017,TOL-171074,FHD-ACC-CLAMP910,6, , ,Ikeja Store,1A IKEJA LINK ROAD IKEJA LAGOS,To tension the drop cable at activation stage .
10 January 2017,TOL-17235,MST-0JXX00-A0350UM,1, , ,UPS Warehouse,"BACKBONE EXTENSION INTO NO. 2,OLAGUNSOYE OYINLOLA ",Backbone Extension Project.
11 January 2017,CAB-070055,96 Core Fibre Optic Cable-Foreign,1187, , ,UPS Warehouse, BACKBONE TO GBAGADA PHASE 2 ESTATE  ,For Gbagada phase 2 estate feeder backbone cable
11 January 2017,INS-80131,Tie wraps(Big),1, , ,Ikeja Store,BEIERSDORF NIVEA CONSUMER PRODUCTS NIGERIA LIMITED,To be use at Beiersdorf nieva mushin
11 January 2017,CAB-70130,OCJ-S2-02MASCA-S2,1, , ,Ikeja Store,FIDELITY BANK OBA AKRAN STREET IKEJA LAGOS,To be used for maintenance to restore service to the Customers MST.
11 January 2017,CAB-70158,FHD-XJ1A-0200M,1, , ,Ikeja Store,FIDELITY BANK OBA AKRAN STREET IKEJA LAGOS,To be used for maintenance to restore service to the Customers MST.
11 January 2017,INS-80115,Tie wrap(small),1, , ,Ikeja Store,FIDELITY BANK OBA AKRAN STREET IKEJA LAGOS,To be used for maintenance to restore service to the Customers MST.
11 January 2017,INS-80119,GP-Y (FTTH Wall Box),2, , ,Ikeja Store,FIDELITY BANK OBA AKRAN STREET IKEJA LAGOS,To be used for maintenance to restore service to the Customers MST.
11 January 2017,INS-80131,Tie wraps(Big),1, , ,Ikeja Store,FIDELITY BANK OBA AKRAN STREET IKEJA LAGOS,To be used for maintenance to restore service to the Customers MST.
12 January 2017,CAB-70151,OCJ-S2-05MASCA-S2,2, , ,Ikeja Store,NORTH POINT ESTATE CHEVRON DRIVE LEKKI LAGOS,For patching at VGC POP to power North Point Estate and testing Of MSTs
11 January 2017,CAB-070056,4 Core Fibre Optic Cable-Foreign,170, , ,UPS Warehouse,ETOMI GEORGE.ORSBORNE FORESHORE ESTATE IKOYI,Maintenanace for (Etomi George) 1 2nd Street Osborne Foreshore Estate 
12 January 2017,TOL-17084,Fibre Closure (Splice Case) for 96 fibres.,1, , ,UPS Warehouse,NORTH POINT ESTATE CHEVRON DRIVE LEKKI LAGOS,For North point Estate1&2
11 January 2017,CAB-70150,OCJ-S2-03MASCA-S2,2, , ,Ikeja Store,"Yaba Base Station, 36 Moleye Street, Alagomeji, Yaba, Lagos",To be install at Yaba Cabinet to power up mst for 252 Herbert Macaulay Yaba.
11 January 2017,TOL-17090,FPS-MPP1JJJ,1, , ,Ikeja Store,"Yaba Base Station, 36 Moleye Street, Alagomeji, Yaba, Lagos",To be install at Yaba Cabinet to power up mst for 252 Herbert Macaulay Yaba.
12 January 2017,CAB-070056,4 Core Fibre Optic Cable-Foreign,70, , ,Ikeja Store,GTB BANK Mobolaji Bank Anthony ,Maintenance - To restore service to the customer
12 January 2017,INS-80115,Tie wrap(small),1, , ,Ikeja Store,GTB BANK Mobolaji Bank Anthony ,Maintenance - To restore service to the customer
12 January 2017,INS-80131,Tie wraps(Big),1, , ,Ikeja Store,GTB BANK Mobolaji Bank Anthony ,Maintenance - To restore service to the customer
12 January 2017,TOL-171074,FHD-ACC-CLAMP910,6, , ,Ikeja Store,GTB BANK Mobolaji Bank Anthony ,Maintenance - To restore service to the customer
12 January 2017,TOL-17112,OFDR-I-01-8U,2, , ,Ikeja Store,GTB BANK Mobolaji Bank Anthony ,Maintenance - To restore service to the customer
12 January 2017,TOL-171074,FHD-ACC-CLAMP910,2, , ,Ikeja Store,Diamond Bank Opebi.,Maintenance - To restore service to the customer.
12 January 2017,TOL-17112,OFDR-I-01-8U,1, , ,Ikeja Store,Diamond Bank Opebi.,Maintenance - To restore service to the customer.
13 January 2017,TOL-17235,MST-0JXX00-A0350UM,1, , ,UPS Warehouse,"MCPL ( Panabis Finance, Office) eric moore Surulere Lagos",the Mst is needed to serve the above customer at 1 Akanbi close of Eric Moore Surulere.
12 January 2017,TOL-13000,8m Foreign Treated Wooden Poles,59, , ,Ikeja Store,Gbagada Phase 2,FTTH Deployment to Gbagada II
01 February 2017,CAB-70162,FHD-XJ1A-0125M,1, , ,HQ Store,"Oriyomi Abimbola Fowler 23 Emuze Amadasun Igbon-Efon, Lekki",to be used for restoration of outage (Fibre cut on the drop cable) the Yomi Fowler's residence igbo efon
01 February 2017,INS-80131,Tie wraps(Big),1, , ,HQ Store,"Oriyomi Abimbola Fowler 23 Emuze Amadasun Igbon-Efon, Lekki",to be used for restoration of outage (Fibre cut on the drop cable) the Yomi Fowler's residence igbo efon
17 January 2017,CAB-1717,MST-0JXX00-A0500UM,1, , ,Ikeja Store," Backbone Extension Into 1,Muritala Muhammed Drive, Ikoyi.",Backbone Extension Project.
17 January 2017,CAB-70158,FHD-XJ1A-0200M,1, , ,Ikeja Store,"Seni Dina Duplex Michelle Okocha Crescent,Parkview, Ikoyi","maintenance for cable re-run for Seni Dina at Duplex 2 Yetunde's Apts Michelle Okocha Crescent,Parkview, Ikoyi"
17 January 2017,INS-80119,GP-Y (FTTH Wall Box),2, , ,Ikeja Store,"Seni Dina Duplex Michelle Okocha Crescent,Parkview, Ikoyi","maintenance for cable re-run for Seni Dina at Duplex 2 Yetunde's Apts Michelle Okocha Crescent,Parkview, Ikoyi"
17 January 2017,CAB-70157,FHD-XJ1A-0100M,1, , ,Ikeja Store,"Chukwudi Nkem.2C Eko Street, Parkview Estate, Ikoyi Lagos.","maintenance for cable re-run for Chukwudi Nkem at 2C Eko Street, Parkview Estate, Ikoyi Lagos."
17 January 2017,INS-80119,GP-Y (FTTH Wall Box),2, , ,Ikeja Store,"Chukwudi Nkem.2C Eko Street, Parkview Estate, Ikoyi Lagos.","maintenance for cable re-run for Chukwudi Nkem at 2C Eko Street, Parkview Estate, Ikoyi Lagos."
17 January 2017,CAB-70157,FHD-XJ1A-0100M,1, , ,Ikeja Store,"Taan, Ali,  Skiru Shitta Bay Road Ikoyi Lagos",maintenance for cable re-run for Taan Ali at Unit 7 Foreshore Town House. Skiru Shitta Bay Road Ikoyi 
06 February 2017,INS-80131,Tie wraps(Big),2, , ,HQ Store,"Agbeyegbe Gbubemi.  24A, Campbell Street, Lagos Island",For maintenance at Agbeyegbe Gbubemi's place
01 February 2017,CAB-005200,2m SC-SC single mode apc patch cord,1, , ,HQ Store,Idowu Taylor Cabinet Idowu Taylor street V.I,This will be used for the completion of GTB PTP to Obadeyi Ikoyi. The MASCA patch cord raised earlier by Sunny is not available in VI store.
17 January 2017,TOL-17084,Fibre Closure (Splice Case) for 96 fibres.,1, , ,UPS Warehouse, BACKBONE TO GBAGADA PHASE 2 ESTATE  ,splicing at Gbagada phase 2 bb estate Shelter. 
06 February 2017,CAB-005113,5m SC-SC Singlemode patch cord,1, , ,HQ Store,"Fieldco   Amazing Grace Plaza, Ligali Ayorinde. VI",For maintenance at Fieldco
17 January 2017,TOL-17881,96 Port Fibre Patch Panel with SC/APC couplers,1, , ,Ikeja Store, BACKBONE TO GBAGADA PHASE 2 ESTATE  ,to be used for the termination of the backbone cable for gbagada phase 2
17 January 2017,TOL-17084,Fibre Closure (Splice Case) for 96 fibres.,1, , ,UPS Warehouse, BACKBONE TO GBAGADA PHASE 2 ESTATE  ,for termination of grand cable and aerial cable continuation  at Gbagada phase 2 bb project
17 January 2017,CAB-070055,96 Core Fibre Optic Cable-Foreign,365, , ,UPS Warehouse,Gbagada Phase 2,This will serve as underground BB cable to Connect Gbagada II cabinets to the POP outside the Estate.
17 January 2017,CAB-70086,48 Core Fibre cable Local,135, , ,Ikeja Store,GBAGADA PHASE 1 ,This will serve as Aerial BB cable to connect Gbagada I  and Gbagada II Cabinets
17 January 2017,CAB-70086,48 Core Fibre cable Local,1465, , ,Ikeja Store,GBAGADA PHASE 1 ,This will serve as Aerial BB cable to connect Gbagada I  and Gbagada II Cabinets
18 January 2017,TOL-171099,MST-0JXX00-A0200UM,1, , ,Abuja Office/Store,SAVANNAH ESTATE,Replacement for the existing which is not supplying power
01 February 2017,TOL-17084,Fibre Closure (Splice Case) for 96 fibres.,1, , ,HQ Store,"Eko Court .  Kofo Abayomi Str, VI.",For maintenance at Eko Court
18 January 2017,TOL-17112,OFDR-I-01-8U,1, , ,Ikeja Store,"Eko Court .  Kofo Abayomi Str, VI.",For maintenance at Eko Court
19 January 2017,INS-80131,Tie wraps(Big),1, , ,Ikeja Store,Access Bank Tradefair Lagos Badagary express way Lagos.,For relocation and maintenance of wimax radio at Access Bank Aspanda Tradefair
01 February 2017,CAB-70165,FHD-XJ1A-0075M,1, , ,HQ Store, Alake Kpiasi Stella.  Northern Foreshore Estate  Lekki.,to be used to replace the damaged drop cable at this location
20 January 2017,CAB-70157,FHD-XJ1A-0100M,1, , ,Abuja Office/Store,ABUJA I18A SUNNYVALE,"Replacement of drop cable at i18A, Sunnyvale"
20 January 2017,CAB-70130,OCJ-S2-02MASCA-S2,2, , ,Ikeja Store, BACKBONE TO GBAGADA PHASE 2 ESTATE  ,patching of Olt to patch panel  Gbagada phase 1 and phase 2 at the base station 
20 January 2017,CAB-070155,12 core fiber optic cable-Foreign,196, , ,Ikeja Store,Backbone extension into Victoria water front Ikoyi,Backbone Extension Project.
20 January 2017,TOL-17084,Fibre Closure (Splice Case) for 96 fibres.,2, , ,UPS Warehouse,BACKBONE NECOM TO IJEH ROAD,FOR MAINTENANCE
20 January 2017,INS-005101,Fibre Heat Shrink,1, , ,Ikeja Store,BACKBONE NECOM TO IJEH ROAD,FOR MAINTENANCE
20 January 2017,INS-80115,Tie wrap(small),1, , ,Ikeja Store,"Serengeti Group 18  Remi Fani-Kayode Street, GRA, Ikeja",For Maintenance - To restore service to the customer.  
20 January 2017,INS-80131,Tie wraps(Big),1, , ,Ikeja Store,"Serengeti Group 18  Remi Fani-Kayode Street, GRA, Ikeja",For Maintenance - To restore service to the customer.  
06 February 2017,CAB-70162,FHD-XJ1A-0125M,1, , ,HQ Store,"Orji Nikky Susan.   No 20a, Musa Yaradua Str V.I",For maintenance at Orji's place
25 January 2017,TOL-17112,OFDR-I-01-8U,1, , ,Ikeja Store,"Orji Nikky Susan.   No 20a, Musa Yaradua Str V.I",For maintenance at Orji's place
23 January 2017,INS-80230,Face plate,1, , ,Port Harcourt Store,BIPIALAKA JOHN JOSHUA ORDINANCE RD PHC,Drop cable at customer location is faullty
23 January 2017,TOL-17228,Hardened Drop cable 75m,1, , ,Port Harcourt Store,BIPIALAKA JOHN JOSHUA ORDINANCE RD PHC,Drop cable at customer location is faullty
20 July 2017,TOL-171102,MST-0JXX00-A0050UM,2, , ,UPS Warehouse,Gbagada Phase 2,For the deployment of FTTH into Gbagada Phase 2.
20 July 2017,TOL-17235,MST-0JXX00-A0350UM,53, , ,UPS Warehouse,Gbagada Phase 2,For the deployment of FTTH into Gbagada Phase 2.
24 January 2017,TOL-17088,"Fiber Splitter Box (FSB32) (Fiber splitter box, indoor rated",1, , ,UPS Warehouse,"Backbone Extension for  East Wing Tower, Oando Wings Lagos","For Backbone Extension for East Wing Tower, Rand Merchant bank "
24 January 2017,CAB-070155,12 core fiber optic cable-Foreign,341, , ,Ikeja Store,"Backbone Extension for  East Wing Tower, Oando Wings Lagos","Back bone Extension for East Wing Tower,Rand Merchant bank "
24 January 2017,TOL-17090,FPS-MPP1JJJ,2, , ,Ikeja Store,"Backbone Extension for  East Wing Tower, Oando Wings Lagos","Back bone Extension for East Wing Tower,Rand Merchant bank "
25 January 2017,TOL-13000,8m Foreign Treated Wooden Poles,2, , ,Ikeja Store,"Engineering close,  Victoria Island.","For installation at Engineering close, VI."
24 January 2017,CAB-070056,4 Core Fibre Optic Cable-Foreign,80, , ,UPS Warehouse,Odogbemi Oluwagbenro. 8 Mekween road Ikoyi Lagos,Maintenance for a costumer at ( Odugbenro Oluwagbenro) no8 mekwen raod ikoyi.
24 January 2017,INS-80001,insulation tape,1, , ,UPS Warehouse,Odogbemi Oluwagbenro. 8 Mekween road Ikoyi Lagos,Maintenance for a costumer at ( Odugbenro Oluwagbenro) no8 mekwen raod ikoyi.
27 January 2017,INS-80002,Scotch tape,1, , ,Abuja Office/Store,KENAZ BST,being the insulation for electrical task done for BTSs backhaul at KENAZ BTS 
26 January 2017,CAB-070055,96 Core Fibre Optic Cable-Foreign,600, , ,UPS Warehouse,BACKBONE NECOM TO IJEH ROAD,maintenance on backbone cable between ipNX POP Necom and Ijeh Junction Obalende (600m between Necom POP and Necom Cabinet)
26 January 2017,CAB-70150,OCJ-S2-03MASCA-S2,1, , ,Ikeja Store,Gbagada Phase 2,For the powering of Gbagada 2 Estate project.
26 January 2017,CAB-70150,OCJ-S2-03MASCA-S2,2, , ,Ikeja Store,Gbagada Phase 2,For the powering of Gbagada 2 Estate project.
26 January 2017,TOL-17090,FPS-MPP1JJJ,10, , ,Ikeja Store,Gbagada Phase 2,For the powering of Gbagada 2 Estate project.
26 January 2017,CAB-070055,96 Core Fibre Optic Cable-Foreign,2000, , ,UPS Warehouse,BACKBONE NECOM TO IJEH ROAD,maintenance on backbone cable between ipNX POP Necom and Ijeh Junction Obalende (2KM between Court of Appeal Cabinet and Ijeh Junction Closure)
26 January 2017,INS-80115,Tie wrap(small),1, , ,Ikeja Store,"Serengeti Group 18  Remi Fani-Kayode Street, GRA, Ikeja",The requested materials is required for maintenance at Serengeti Group (18 Remi Fani-Kayode GRA Ikeja).
27 January 2017,CAB-70158,FHD-XJ1A-0200M,1, , ,Ikeja Store,"PZ Cussons, NIG PLC Block A 4A Gerrard Road Ikoyi","maintenance for cable re-run at PZ Cussons, Nig Plc Block A, Flat 4A Gerrard Road Ikoyi."
27 January 2017,INS-80131,Tie wraps(Big),1, , ,Ikeja Store,BEIERSDORF NIVEA CONSUMER,For relocation.
27 January 2017,TOL-18001,FDSC-SHTH-REP-24,1, , ,Ikeja Store,"Serengeti Group 18  Remi Fani-Kayode Street, GRA, Ikeja",Maintenance - to restore service to the customer.
31 January 2017,TOL-171081,MST-08XX0J-A0650UM,1, , ,UPS Warehouse,"Akinola Cole Crescent, Adeniyi Jones Ikeja","pulling of Mst at Akinola cole crescent, ikeja."
31 January 2017,TOL-17235,MST-0JXX00-A0350UM,2, , ,UPS Warehouse,"Akinola Cole Crescent, Adeniyi Jones Ikeja","pulling of Mst at Akinola cole crescent, ikeja."
31 January 2017,CAB-1717,MST-0JXX00-A0500UM,1, , ,Ikeja Store,"Akinola Cole Crescent, Adeniyi Jones Ikeja","Pulling of MST at Akinola cole crescent, ikeja."
30 January 2017,TOL-17228,Hardened Drop cable 75m,1, , ,Port Harcourt Store,MR NKECHIKA EMMANUEL FHA PORT HARCOURT,For New Fiber Activation 
30 January 2017,TOL-13000,8m Foreign Treated Wooden Poles,23, , ,Ikeja Store,EVEN SIDE OF LADIPO OLUWOLE STREET IKEJA LAGOS       ,"installation of pole at ladipo  oluwole street, ikeja."
30 January 2017,TOL-17084,Fibre Closure (Splice Case) for 96 fibres.,2, , ,Ikeja Store,EVEN SIDE OF LADIPO OLUWOLE STREET IKEJA LAGOS       ,"installation of pole at ladipo  oluwole street, ikeja."
30 January 2017,CAB-70159,FHD-XJ1A-0250M,1, , ,Ikeja Store,"Dalamal Deepak . 29, Kofo Abayomi Street Victori Island ",Cable required for maintenance at customers end.
30 January 2017,INS-005101,Fibre Heat Shrink,1, , ,Ikeja Store,Nwakoli Macpherson. 8 Olagunsoye oyinlola street Ikoyi.,Maintenance for a Costumer at  (Nwankoli Macpherson) 8 Olagunsoye Oyinlola Street Parkview Estate ikoyi
30 January 2017,INS-80131,Tie wraps(Big),1, , ,Ikeja Store,Nwakoli Macpherson. 8 Olagunsoye oyinlola street Ikoyi.,Maintenance for a Costumer at  (Nwankoli Macpherson) 8 Olagunsoye Oyinlola Street Parkview Estate ikoyi
30 January 2017,TOL-171092,FHD-XJ1A-0150M,1, , ,Ikeja Store,Nwakoli Macpherson. 8 Olagunsoye oyinlola street Ikoyi.,Maintenance for a Costumer at  (Nwankoli Macpherson) 8 Olagunsoye Oyinlola Street Parkview Estate ikoyi
31 January 2017,TOL-13001, 11m Foreign Treated Wooden Poles,1, , ,Ikeja Store,"Serengeti Group 18  Remi Fani-Kayode Street, GRA, Ikeja",The pole is to be erected at  Sobo Arobiodu/Adeniji Adele Junction across the intersection to tension the cables and raise it high for serengeti Group.
31 January 2017,TOL-13001, 11m Foreign Treated Wooden Poles,1, , ,Ikeja Store,"Kodesho street,Ikeja Lagos",The pole is to be deployed at the Kodesho Cabinet - as a replacement for the slanting and bad pole with cables going towards Computer Village/ Oba Akran Avenue 
10 February 2017,TOL-17049,ONT,1,CIGGB0904409, ,HQ Store,"Tusen Consulting Limited 5 Balarabe Musa Crescent, VI.",For replacement at Tusen
31 January 2017,TOL-17084,Fibre Closure (Splice Case) for 96 fibres.,2, , ,UPS Warehouse,LIVERPOOL ROAD APAPA LAGOS,The item was used for the maintenance of the backbone cable along liverpool road.
31 January 2017,INS-005101,Fibre Heat Shrink,2, , ,Ikeja Store,LIVERPOOL ROAD APAPA LAGOS,The item was used at Liverpool Road for maintenance of Backbone cable along liverpool road.
06 February 2017,CAB-70165,FHD-XJ1A-0075M,1, , ,HQ Store," Telvida Int'l Syst Ltd  Plot 12, Churchgate Street VI.",For maintenance at Telvida
