,Job Title,Rating,Company Name,Location,Headquarters,Founded,Sector,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,is_headquarter,age,python_yn,spark_yn,aws_yn,gcp_yn,azure_yn,java_yn,tableau_yn,powerbi_yn,excel_yn,job_spec
20,Data Scientist,3.2,Porch,"Seattle, WA","Seattle, WA",2012,Information Technology,0,0,81,130,105.5, WA,1,8,1,1,0,1,0,0,0,0,0,data scientist
21,Senior Data Scientist / Machine Learning,3.9,Health IQ,"Dallas, TX","Mountain View, CA",2013,Insurance,0,0,73,119,96.0, TX,0,7,0,0,0,1,0,0,0,0,1,machine learning
22,Data Scientist - Quantitative,3.8,Truckstop.com,"Chicago, IL","New Plymouth, ID",1995,Transportation & Logistics,0,0,86,139,112.5, IL,0,25,1,0,1,1,0,0,0,0,1,data scientist
23,Data Scientist,4.3,SMC 3,"Louisville, KY","Peachtree City, GA",1935,Transportation & Logistics,0,0,63,105,84.0, KY,0,85,1,0,0,1,0,0,1,0,1,data scientist
25,Data Scientist,4.0,Novetta,"Herndon, VA","Mc Lean, VA",2012,Information Technology,0,0,109,177,143.0, VA,0,8,1,0,1,1,0,1,0,0,0,data scientist
26,Digital Health Data Scientist,4.0,Pfizer,"Cambridge, MA","New York, NY",1849,Biotech & Pharmaceuticals,0,0,63,110,86.5, MA,0,171,1,0,1,1,0,0,0,0,1,data scientist
27,Data Scientist,3.5,First Tech Federal Credit Union,"Hillsboro, OR","San Jose, CA",1952,Finance,0,0,75,124,99.5, OR,0,68,1,1,1,1,0,0,1,0,1,data scientist
28,Associate Data Analyst,3.7,The Hanover Insurance Group,"Worcester, MA","Worcester, MA",1852,Insurance,0,0,34,61,47.5, MA,1,168,0,0,0,1,0,0,0,0,1,data analyst
29,Clinical Data Scientist,4.0,Pfizer,"Groton, CT","New York, NY",1849,Biotech & Pharmaceuticals,0,0,63,105,84.0, CT,0,171,0,0,1,1,0,0,0,0,1,data scientist
30,Data Scientist,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",2010,Business Services,0,0,80,90,85.0, FL,1,10,1,1,0,1,0,0,0,0,1,data scientist
31,Data Scientist,3.8,PNNL,"Richland, WA","Richland, WA",1965,"Oil, Gas, Energy & Utilities",0,0,56,97,76.5, WA,1,55,1,0,0,1,0,0,0,0,0,data scientist
32,Data Scientist,3.6,Amrock,"Detroit, MI","Detroit, MI",1997,Real Estate,0,0,72,120,96.0, MI,1,23,1,0,0,1,0,1,0,0,0,data scientist
33,Data Scientist / Machine Learning Expert,3.8,Novartis,"Cambridge, MA","Basel, Switzerland",1996,Biotech & Pharmaceuticals,0,0,86,143,114.5, MA,0,24,1,0,0,1,0,0,0,0,0,machine learning
34,Data Scientist,3.8,Juniper Networks,"Sunnyvale, CA","Sunnyvale, CA",1996,Telecommunications,0,0,93,149,121.0, CA,1,24,1,1,0,1,0,0,0,0,1,data scientist
35,Data Scientist,4.7,New England Biolabs,"Ipswich, MA","Ipswich, MA",1974,Biotech & Pharmaceuticals,0,0,85,140,112.5, MA,1,46,1,0,0,1,0,0,0,0,1,data scientist
36,Web Data Analyst,4.2,Clarity Insights,"San Jose, CA","Chicago, IL",2008,Information Technology,0,0,77,135,106.0, CA,0,12,1,0,0,1,0,0,1,1,1,data analyst
37,Data Scientist,3.5,Esri,"Redlands, CA","Redlands, CA",1969,Information Technology,0,0,82,132,107.0, CA,1,51,1,1,1,1,1,1,1,0,0,data scientist
38,Data Scientist,4.7,Systems & Technology Research,"Woburn, MA","Woburn, MA",2010,Aerospace & Defense,0,0,83,137,110.0, MA,1,10,1,1,0,1,0,0,0,0,1,data scientist
39,Senior Data Scientist,3.5,Sartorius,"Fremont, CA","Gottingen, Germany",1870,Biotech & Pharmaceuticals,0,0,115,180,147.5, CA,0,150,1,0,0,1,0,0,0,0,1,data scientist
40,Data Engineer,3.5,Lancer Insurance,"Long Beach, NY","Long Beach, NY",1985,Insurance,0,0,74,138,106.0, NY,1,35,1,0,0,1,0,0,0,0,1,data engineer
41,Data Analyst,4.2,Sauce Labs,"San Francisco, CA","San Francisco, CA",2008,Information Technology,0,0,64,112,88.0, CA,1,12,1,0,1,1,0,0,1,0,1,data analyst
43,Data Engineer,3.6,Persivia,"Marlborough, MA","Lowell, MA",-1,-1,0,0,68,129,98.5, MA,0,-1,0,0,0,1,0,1,0,0,1,data engineer
44,Data Scientist - Algorithms & Inference,4.2,Nuna,"San Francisco, CA","San Francisco, CA",2010,Information Technology,0,0,110,175,142.5, CA,1,10,0,0,0,1,0,0,0,0,0,data scientist
45,Scientist,3.4,Edgewell Personal Care,"Allendale, NJ","Shelton, CT",2015,Manufacturing,0,0,52,113,82.5, NJ,0,5,0,0,1,1,0,0,0,0,0,n
46,Senior Data Scientist,4.3,Equity Residential,"Chicago, IL","Chicago, IL",1993,Real Estate,0,0,110,150,130.0, IL,1,27,1,1,0,1,0,0,1,0,1,data scientist
48,Data Scientist,5.0,BPA Services,"Washington, DC","Alexandria, VA",-1,Information Technology,0,1,150,160,155.0, DC,0,-1,0,0,1,1,0,0,0,0,1,data scientist
49,Lead Data Scientist,3.7,Visa Inc.,"Bellevue, WA","Foster City, CA",1958,Information Technology,0,0,158,211,184.5, WA,0,62,1,0,0,1,0,0,1,0,1,data scientist
50,Associate Data Analyst,3.1,Intrado,"Longmont, CO","Omaha, NE",1986,Information Technology,0,0,20,39,29.5, CO,0,34,0,0,0,1,0,0,0,0,1,data analyst
51,Spectral Scientist/Engineer,4.7,Centauri,"Beavercreek, OH","Chantilly, VA",1999,Aerospace & Defense,0,0,56,117,86.5, OH,0,21,0,0,0,1,0,0,0,0,0,n
52,College Hire - Data Scientist - Open to December 2019 Graduates,3.7,Caterpillar,"Peoria, IL","Deerfield, IL",1925,Manufacturing,0,0,63,99,81.0, IL,0,95,0,0,0,1,0,1,1,0,0,data scientist
54,Data Scientist,3.8,Zimmerman Advertising,"Fort Lauderdale, FL","Fort Lauderdale, FL",1984,Business Services,0,0,68,114,91.0, FL,1,36,1,0,0,1,0,0,1,0,1,data scientist
55,"Data Scientist, Office of Data Science",3.3,Liberty Mutual Insurance,"Boston, MA","Boston, MA",1912,Insurance,0,0,86,143,114.5, MA,1,108,1,0,0,1,0,0,0,0,0,data scientist
56,Data Science Analyst,4.6,"Torch Technologies, Inc.","Huntsville, AL","Huntsville, AL",2002,Aerospace & Defense,0,0,41,95,68.0, AL,1,18,1,0,0,1,0,0,1,0,1,n
57,Data Scientist,3.7,Swiss Re,"Armonk, NY","Zurich, Switzerland",1863,Insurance,0,0,86,144,115.0, NY,0,157,1,0,0,1,0,1,0,0,1,data scientist
58,Data Scientist,3.7,Northrop Grumman,"San Diego, CA","Falls Church, VA",1939,Aerospace & Defense,0,0,80,139,109.5, CA,0,81,0,0,0,1,0,1,1,0,1,data scientist
59,Data Scientist,3.5,Sartorius,"Albuquerque, NM","Gottingen, Germany",1870,Biotech & Pharmaceuticals,0,0,56,95,75.5, NM,0,150,1,0,0,1,0,0,0,0,1,data scientist
60,Data Scientist,4.1,Netskope,"San Francisco, CA","Santa Clara, CA",2012,Information Technology,0,0,120,189,154.5, CA,0,8,1,1,0,1,0,0,0,0,1,data scientist
61,Data Scientist,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",2016,Information Technology,0,0,111,176,143.5, MO,1,4,1,1,0,1,0,0,0,0,0,data scientist
62,Data Scientist,4.1,ClearOne Advantage,"Baltimore, MD","Baltimore, MD",2008,Finance,0,0,54,93,73.5, MD,1,12,0,0,0,1,0,0,0,0,1,data scientist
63,Data Scientist,3.4,CyrusOne,"Dallas, TX","Dallas, TX",2000,Real Estate,0,0,71,119,95.0, TX,1,20,1,0,1,1,1,0,0,1,1,data scientist
65,Senior Data Scientist,4.4,The David J. Joseph Company,"Cincinnati, OH","Cincinnati, OH",1885,Mining & Metals,0,0,82,132,107.0, OH,1,135,1,0,1,1,0,0,1,0,0,data scientist
66,Data Scientist,4.3,USEReady,"New York, NY","New York, NY",2011,Business Services,0,0,84,146,115.0, NY,1,9,1,1,1,1,1,0,1,0,0,data scientist
67,Senior Risk Data Scientist,3.8,Bill.com,"Palo Alto, CA","Palo Alto, CA",2006,Finance,0,0,107,172,139.5, CA,1,14,0,0,0,1,0,0,0,0,0,data scientist
68,Data Scientist in Artificial Intelligence Early Career,3.8,Pacific Northwest National Laboratory,"Richland, WA","Richland, WA",1965,"Oil, Gas, Energy & Utilities",0,0,49,85,67.0, WA,1,55,0,0,0,1,0,0,0,0,0,data scientist
70,Data Scientist,3.8,DICK'S Sporting Goods - Corporate,"Coraopolis, PA","Coraopolis, PA",1948,Retail,0,0,61,109,85.0, PA,1,72,1,0,0,1,0,0,0,0,0,data scientist
72,Data Scientist,2.8,Berg Health,"Framingham, MA","Framingham, MA",2006,Biotech & Pharmaceuticals,0,0,88,148,118.0, MA,1,14,1,0,0,1,0,0,0,0,1,data scientist
73,Data Scientist,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",2003,Information Technology,0,0,60,99,79.5, GA,1,17,1,0,0,1,0,0,0,0,1,data scientist
75,Data Scientist - Research,3.1,C Space,"Boston, MA","Boston, MA",1999,Business Services,0,0,41,72,56.5, MA,1,21,1,0,0,1,0,0,1,0,0,data scientist
76,Data Scientist,3.2,"Numeric, LLC","Philadelphia, PA","Chadds Ford, PA",-1,Business Services,0,0,96,161,128.5, PA,0,-1,1,1,1,1,0,0,0,0,0,data scientist
77,R&D Data Analysis Scientist,4.0,HP Inc.,"Vancouver, WA","Palo Alto, CA",1939,Information Technology,0,0,65,130,97.5, WA,0,81,0,0,0,1,0,0,0,0,0,n
78,Analytics Consultant,4.4,SpringML,"Indianapolis, IN","Pleasanton, CA",2015,Information Technology,0,0,52,81,66.5, IN,0,5,1,0,0,1,0,1,1,0,0,n
79,"Director, Data Science",3.6,Grainger,"Lake Forest, IL","Lake Forest, IL",1927,Business Services,0,0,139,220,179.5, IL,1,93,1,0,0,1,0,0,0,0,1,n
80,Scientist,2.7,EAG Laboratories,"Maryland Heights, MO","San Diego, CA",1978,Business Services,0,0,50,102,76.0, MO,0,42,0,0,0,1,0,0,0,0,1,n
81,Data Scientist SR,3.9,The Buffalo Group,"Charlottesville, VA","Reston, VA",2010,Information Technology,0,0,85,139,112.0, VA,0,10,1,1,0,1,0,1,0,0,0,data scientist
82,Data Scientist,3.1,Carmeuse,"Pittsburgh, PA","Louvain-la-Neuve, Belgium",1860,Mining & Metals,0,0,74,122,98.0, PA,0,160,1,0,0,1,1,0,0,0,0,data scientist
83,R&D Sr Data Scientist,4.0,HP Inc.,"Vancouver, WA","Palo Alto, CA",1939,Information Technology,0,0,99,157,128.0, WA,0,81,0,1,1,1,0,0,0,0,0,data scientist
84,Customer Data Scientist/Sales Engineer (Bay,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",2011,Information Technology,0,0,79,222,150.5, CA,1,9,1,1,1,1,1,1,0,0,1,data scientist
85,Research Scientist,1.9,GNS Healthcare,"Cambridge, MA","Cambridge, MA",2000,Biotech & Pharmaceuticals,0,0,57,118,87.5, MA,1,20,0,0,1,1,0,0,0,0,0,n
86,Data Scientist,3.3,Peraton,"Chantilly, VA","Herndon, VA",2017,Aerospace & Defense,0,0,83,137,110.0, VA,0,3,1,0,0,1,0,1,0,0,1,data scientist
87,Data Scientist,4.4,Pactera,"San Jose, CA","Beijing, China",1995,Information Technology,0,0,86,141,113.5, CA,0,25,1,0,0,1,0,0,0,0,1,data scientist
88,Data Scientist,3.9,Nurx,"San Francisco, CA","San Francisco, CA",2016,Health Care,0,0,94,154,124.0, CA,1,4,1,0,0,1,0,0,0,0,0,data scientist
89,Jr. Business Data Analyst,4.7,webfx.com,"Harrisburg, PA","Harrisburg, PA",1997,Business Services,0,0,37,76,56.5, PA,1,23,0,0,0,1,0,0,0,0,1,data analyst
90,Data Scientist,4.5,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD","Laurel, MD",1942,Aerospace & Defense,0,0,100,160,130.0, MD,1,78,1,0,0,1,0,0,0,0,1,data scientist
91,Data Analyst,4.3,Productive Edge,"Chicago, IL","Chicago, IL",2008,Information Technology,0,0,55,100,77.5, IL,1,12,0,0,0,1,0,1,0,0,1,data analyst
92,Data Engineer,4.0,Excella Consulting,"Arlington, VA","Arlington, VA",2002,Business Services,0,0,60,114,87.0, VA,1,18,1,0,1,1,0,0,0,0,1,data engineer
93,Data Analyst,4.4,Gensco,"Tacoma, WA","Tacoma, WA",1948,Business Services,0,0,39,68,53.5, WA,1,72,0,0,0,1,0,0,0,0,1,data analyst
94,Staff Data Scientist - Technology,3.2,Walmart,"Plano, TX","Bentonville, AR",1962,Retail,0,0,106,172,139.0, TX,0,58,0,0,0,1,0,0,0,0,0,data scientist
95,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",2005,Business Services,0,0,86,142,114.0, CA,0,15,1,1,1,1,0,0,0,0,1,data scientist
96,Data Scientist,4.2,goTRG,"Miami, FL","Miami, FL",2008,Information Technology,0,0,64,107,85.5, FL,1,12,1,1,0,1,0,1,0,0,1,data scientist
97,Data Management Specialist,4.5,NMR Consulting,"Huntsville, AL","Chantilly, VA",1996,Information Technology,0,0,31,65,48.0, AL,0,24,0,0,0,1,0,0,0,0,1,n
99,E-Commerce Data Analyst,3.5,iSeatz,"New Orleans, LA","New Orleans, LA",1999,Information Technology,0,0,34,62,48.0, LA,1,21,0,0,0,1,0,0,0,0,1,data analyst
101,Sr. Scientist II,3.5,Nektar Therapeutics,"San Francisco, CA","San Francisco, CA",1990,Biotech & Pharmaceuticals,0,0,117,231,174.0, CA,1,30,0,0,0,1,0,0,0,0,1,n
102,Insurance Data Scientist,3.9,TransUnion,"Atlanta, GA","Chicago, IL",1968,Finance,0,0,64,106,85.0, GA,0,52,1,1,0,1,0,0,0,0,0,data scientist
104,Data Modeler,4.7,IT Concepts,"Landover, MD","Vienna, VA",2003,Information Technology,0,0,79,134,106.5, MD,0,17,0,0,0,1,0,0,0,0,0,data engineer
105,Data Analyst / Scientist,4.2,Scientific Research Corporation,"Patuxent River, MD","Atlanta, GA",1988,Information Technology,0,0,52,93,72.5, MD,0,32,0,0,0,1,0,0,0,0,1,data analyst
106,Scientist,3.4,General Dynamics Information Technology,"Suitland, MD","Fairfax, VA",1996,Information Technology,0,0,55,116,85.5, MD,0,24,0,0,0,1,0,0,0,0,0,n
107,Data Scientist,3.2,MITRE,"McLean, VA","Bedford, MA",1958,Government,0,0,72,123,97.5, VA,0,62,1,0,0,1,0,1,1,1,1,data scientist
108,Data Scientist,3.9,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",2010,Information Technology,0,0,74,124,99.0, VA,0,10,1,0,0,1,0,0,1,0,1,data scientist
109,Data Analyst,3.1,DentaQuest,"Milwaukee, WI","Boston, MA",2001,Insurance,0,0,40,73,56.5, WI,0,19,0,0,0,1,0,0,0,0,1,data analyst
110,Lead Data Scientist,4.1,Redjack,"Silver Spring, MD","Silver Spring, MD",2007,Information Technology,0,0,102,164,133.0, MD,1,13,1,0,0,1,0,1,0,0,0,data scientist
112,Data Scientist,3.8,7Park Data,"New York, NY","New York, NY",2012,Business Services,0,0,89,153,121.0, NY,1,8,1,1,0,1,0,0,0,0,0,data scientist
113,Data Scientist,4.7,Rapid Response Monitoring,"Syracuse, NY","Syracuse, NY",1992,Business Services,0,0,61,110,85.5, NY,1,28,1,0,0,1,0,0,0,0,0,data scientist
116,"Data Scientist, Rice University",4.3,Trilogy Ed,"Houston, TX","New York, NY",2015,Education,0,0,65,110,87.5, TX,0,5,1,0,0,1,0,0,0,0,0,data scientist
117,Senior Data Scientist,4.2,Gallup,"Washington, DC","Washington, DC",1935,Business Services,0,0,200,275,237.5, DC,1,85,1,0,0,1,0,0,0,0,1,data scientist
118,Data Engineer,3.9,CapTech,"Charlotte, NC","Richmond, VA",1997,Information Technology,0,0,68,123,95.5, NC,0,23,1,1,0,1,0,1,1,0,0,data engineer
119,Senior Data Scientist,3.3,American Axle & Manufacturing,"Southfield, MI","Detroit, MI",1994,Manufacturing,0,0,80,129,104.5, MI,0,26,1,1,1,1,0,0,0,1,1,data scientist
120,Financial Data Analyst,4.7,CentralReach,"Matawan, NJ","Pompano Beach, FL",2012,Information Technology,0,0,41,72,56.5, NJ,0,8,0,0,0,1,0,0,1,0,1,data analyst
122,Senior Data Analyst,4.3,Integrate,"Phoenix, AZ","Phoenix, AZ",2010,Information Technology,0,0,39,71,55.0, AZ,1,10,0,0,0,1,1,0,0,1,1,data analyst
123,Research Scientist,2.9,Boys Town Hospital,"Omaha, NE","Omaha, NE",1977,Health Care,0,0,38,85,61.5, NE,1,43,0,0,0,1,0,0,0,0,1,n
124,Data Scientist,4.5,Demandbase,"San Francisco, CA","San Francisco, CA",2006,Information Technology,0,0,121,193,157.0, CA,1,14,0,1,1,1,0,0,0,0,0,data scientist
125,Data Engineer,3.4,Sapphire Digital,"Lyndhurst, NJ","Lyndhurst, NJ",2019,Information Technology,0,0,54,102,78.0, NJ,1,1,1,0,0,1,0,0,0,0,0,data engineer
126,Data Scientist,3.7,Takeda Pharmaceuticals,"Cambridge, MA","OSAKA, Japan",1781,Biotech & Pharmaceuticals,0,0,83,144,113.5, MA,0,239,1,1,0,1,0,1,0,0,0,data scientist
127,Data Scientist,4.6,<intent>,"New York, NY","New York, NY",2009,Information Technology,0,0,120,160,140.0, NY,1,11,1,1,0,1,0,1,0,0,0,data scientist
128,Data Scientist,3.2,Formation,"San Francisco, CA","San Francisco, CA",2015,Information Technology,0,0,102,163,132.5, CA,1,5,0,1,0,1,0,0,0,0,1,data scientist
129,Data Engineer,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",1982,Information Technology,0,0,76,140,108.0, CA,0,38,1,1,0,1,0,1,0,0,0,data engineer
130,Ag Data Scientist,4.6,Beck's Hybrids,"Atlanta, IN","Atlanta, IN",1937,Agriculture & Forestry,0,0,60,101,80.5, IN,1,83,0,0,0,1,0,0,0,0,0,data scientist
131,Data Scientist,2.8,DrFirst,"Rockville, MD","Rockville, MD",2000,Health Care,0,0,82,133,107.5, MD,1,20,1,0,0,1,0,0,0,0,0,data scientist
132,Data Engineer,4.7,Object Partners,"Minneapolis, MN","Minneapolis, MN",1996,Business Services,0,0,65,125,95.0, MN,1,24,0,1,1,1,1,1,0,0,0,data engineer
136,Data Scientist II,3.0,L.A. Care Health Plan,"Los Angeles, CA","Los Angeles, CA",1997,Health Care,0,0,91,148,119.5, CA,1,23,1,1,0,1,0,0,1,0,0,data scientist
137,Senior Data Engineer,3.2,Red Ventures,"Charlotte, NC","Fort Mill, SC",2000,Business Services,0,0,95,173,134.0, NC,0,20,0,1,1,1,0,1,0,0,0,data engineer
138,Data Scientist,4.4,Quick Base,"Cambridge, MA","Cambridge, MA",1999,Information Technology,0,0,77,124,100.5, MA,1,21,1,0,0,1,0,0,1,1,1,data scientist
139,Data Scientist,3.5,The E.W. Scripps Company,"Cincinnati, OH","Cincinnati, OH",1878,Media,0,0,80,135,107.5, OH,1,142,1,0,0,1,0,0,1,0,0,data scientist
140,Data Engineer,4.0,Upside Business Travel,"Washington, DC","Washington, DC",2015,Information Technology,0,0,85,159,122.0, DC,1,5,1,1,1,1,0,1,0,0,0,data engineer
141,Data Engineer,4.3,Equity Residential,"Chicago, IL","Chicago, IL",1993,Real Estate,0,0,80,105,92.5, IL,1,27,1,1,0,1,1,1,0,0,1,data engineer
142,Data Analyst,2.3,Synagro,"Baltimore, MD","Baltimore, MD",1986,Business Services,0,0,43,81,62.0, MD,1,34,0,0,0,1,0,0,0,0,1,data analyst
143,Project Scientist,4.0,Alliance Source Testing,"Alabaster, AL","Decatur, AL",2000,Business Services,0,0,29,50,39.5, AL,0,20,0,0,0,1,0,0,0,0,0,n
145,Data Scientist,3.6,Accuride International,"Santa Fe Springs, Los Angeles, CA","Santa Fe Springs, CA",1966,Manufacturing,0,0,82,133,107.5, Los Angeles,0,54,0,0,0,1,0,0,1,0,1,data scientist
146,Data Analytics Manager,3.8,Full Potential Solutions,"Kansas City, MO","Kansas City, MO",2017,Business Services,0,0,26,55,40.5, MO,1,3,1,0,1,1,1,0,1,0,1,n
147,Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,3.7,Visa Inc.,"Ashburn, VA","Foster City, CA",1958,Information Technology,0,0,61,118,89.5, VA,0,62,1,1,0,1,0,0,1,0,0,machine learning
148,Data Scientist,4.4,Maven Wave Partners,"Chicago, IL","Chicago, IL",2008,Business Services,0,0,60,102,81.0, IL,1,12,1,0,1,1,1,1,1,0,1,data scientist
150,Senior Data Scientist,4.0,Novetta,"Herndon, VA","Mc Lean, VA",2012,Information Technology,0,0,112,182,147.0, VA,0,8,1,0,1,1,0,1,0,0,0,data scientist
152,Data Scientist,3.2,"First Command Financial Services, Inc.","Fort Worth, TX","Fort Worth, TX",1958,Finance,0,0,64,106,85.0, TX,1,62,1,0,0,1,0,0,1,0,1,data scientist
153,Associate Scientist,2.9,Pharmavite,"Valencia, CA","West Hills, CA",1971,Manufacturing,0,0,51,112,81.5, CA,0,49,0,0,0,1,0,0,0,0,1,n
154,"Scientist 2, QC Viral Vector",3.8,BioMarin Pharmaceutical,"Novato, CA","San Rafael, CA",1997,Biotech & Pharmaceuticals,0,0,113,223,168.0, CA,0,23,0,0,0,1,0,0,0,0,1,n
156,Machine Learning Engineer,4.3,Stratagem Group,"Aurora, CO","Aurora, CO",2007,Aerospace & Defense,0,0,72,129,100.5, CO,1,13,1,1,1,1,0,1,0,0,1,machine learning
157,Data Scientist/ML Engineer,3.4,PA Consulting,"New York, NY","London, United Kingdom",1943,Business Services,0,0,71,123,97.0, NY,0,77,1,1,0,1,0,1,1,0,1,machine learning
158,Data Scientist,4.1,ManTech,"Chantilly, VA","Herndon, VA",1968,Business Services,0,0,64,106,85.0, VA,0,52,0,0,0,1,0,0,0,0,0,data scientist
159,Customer Data Scientist,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",2011,Information Technology,0,0,118,189,153.5, CA,1,9,1,1,1,1,1,0,0,0,1,data scientist
161,Data Engineer,5.0,Gridiron IT,"Tampa, FL","Reston, VA",2017,Information Technology,0,1,120,145,132.5, FL,0,3,0,0,0,1,0,0,0,0,0,data engineer
162,Data Engineer,4.3,Productive Edge,"Chicago, IL","Chicago, IL",2008,Information Technology,0,0,80,120,100.0, IL,1,12,0,1,0,1,1,1,0,0,1,data engineer
164,Sr. Data Scientist,3.7,Evolve Vacation Rental,"Denver, CO","Denver, CO",2011,Travel & Tourism,0,0,80,130,105.0, CO,1,9,1,0,0,1,0,0,0,0,0,data scientist
166,Data Engineer 4 - Contract,4.2,The Church of Jesus Christ of Latter-day Saints,"Riverton, UT","Salt Lake City, UT",-1,Non-Profit,0,0,59,115,87.0, UT,0,-1,0,0,1,1,1,0,0,0,1,data engineer
167,Data Analyst - Asset Management,4.3,Maximus Real Estate Partners,"San Francisco, CA","San Francisco, CA",2013,Real Estate,0,0,71,136,103.5, CA,1,7,0,0,0,1,0,0,0,0,1,data analyst
168,Senior Research Scientist - Embedded System Development for DevOps,2.6,Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, PA",1984,Education,0,0,81,167,124.0, PA,1,36,1,0,0,1,0,1,0,0,1,n
169,Data Scientist - Bioinformatics,3.8,PNNL,"Richland, WA","Richland, WA",1965,"Oil, Gas, Energy & Utilities",0,0,49,85,67.0, WA,1,55,1,0,0,1,0,0,0,0,0,data scientist
170,Data Engineer,3.9,AVANADE,"Washington, DC","Seattle, WA",2000,Information Technology,0,0,60,114,87.0, DC,0,20,0,0,0,1,1,0,0,0,0,data engineer
171,Customer Data Scientist/Sales Engineer,4.3,h2o.ai,"Chicago, IL","Mountain View, CA",2011,Information Technology,0,0,71,204,137.5, IL,0,9,1,1,1,1,1,1,0,0,1,data scientist
